"","kingdom","phylum","class","order","family","genus","species"
"gMOTU_430","Metazoa","Arthropoda","Insecta","Lepidoptera","Tortricidae","Rhopobota","Rhopobota_naevana"
"gMOTU_449","Metazoa","Arthropoda","Insecta","Diptera","Phoridae","Megaselia","Megaselia_fungivora"
"gMOTU_456","Metazoa","Arthropoda","Insecta","Lepidoptera","Plutellidae","Plutella","Plutella_xylostella"
"gMOTU_479","Metazoa","Arthropoda","Insecta","Diptera","Psychodidae","Psychoda","Psychoda_trinodulosa"
"gMOTU_496","Metazoa","Arthropoda","Insecta","Diptera","Anisopodidae","Sylvicola","Sylvicola_sp._BIOUG01392-G05"
"gMOTU_513","Metazoa","Arthropoda","Arachnida","Araneae","Tetragnathidae","Tetragnatha","Tetragnatha_montana"
"gMOTU_529","Metazoa","Arthropoda","Insecta","Lepidoptera","Gelechiidae","Carpatolechia","Carpatolechia_proximella"
"gMOTU_553","Metazoa","Arthropoda","Insecta","Neuroptera","Hemerobiidae","Wesmaelius","Wesmaelius_sp._BOLD:AAP2909"
"gMOTU_568","Metazoa","Arthropoda","Arachnida","Araneae","Tetragnathidae","Metellina","Metellina_mengei"
"gMOTU_571","Metazoa","Arthropoda","Insecta","Lepidoptera","Argyresthiidae","Argyresthia","Argyresthia_laevigatella"
"gMOTU_612","Metazoa","Arthropoda","Insecta","Lepidoptera","Geometridae","Idaea","Idaea_aversata"
"gMOTU_646","Metazoa","Arthropoda","Arachnida","Araneae","Tetragnathidae","Meta","Meta_menardi"
"gMOTU_663","Metazoa","Arthropoda","Insecta","Lepidoptera","Agonoxenidae","Blastodacna","Blastodacna_hellerella"
"gMOTU_677","Metazoa","Arthropoda","Insecta","Diptera","Hybotidae","Platypalpus","Platypalpus_exilis"
"gMOTU_680","Metazoa","Arthropoda","Insecta","Lepidoptera","Tortricidae","Archips","Archips_podanus"
"gMOTU_682","Metazoa","Arthropoda","Insecta","Diptera","Empididae","Rhamphomyia","Rhamphomyia_umbripennis"
"gMOTU_695","Metazoa","Arthropoda","Insecta","Lepidoptera","Coleophoridae","Coleophora","Coleophora_glaucicolella"
"gMOTU_711","Metazoa","Arthropoda","Insecta","Lepidoptera","Gracillariidae","Phyllonorycter","Phyllonorycter_sorbi"
"gMOTU_712","Metazoa","Arthropoda","Insecta","Lepidoptera","Geometridae","Macaria","Macaria_liturata"
"gMOTU_715","Metazoa","Arthropoda","Insecta","Lepidoptera","Plutellidae","Homadaula","Homadaula_albida"
"gMOTU_724","Metazoa","Arthropoda","Insecta","Trichoptera","Limnephilidae","Limnephilus","Limnephilus_sp._BOLD:AAE6317"
"gMOTU_739","Metazoa","Arthropoda","Insecta","Lepidoptera","Gracillariidae","Phyllonorycter","Phyllonorycter_quercifoliella"
"gMOTU_765","Metazoa","Arthropoda","Insecta","Trichoptera","Lepidostomatidae","Lepidostoma","Lepidostoma_hirtum"
"gMOTU_790","Metazoa","Arthropoda","Insecta","Diptera","Tipulidae","Tipula","Tipula_serta"
